MTU;Biomass;Fossil Brown coal/Lignite;Fossil Coal-derived gas;Fossil Gas;Fossil Hard coal;Fossil Oil;Fossil Oil shale;Fossil Peat;Geothermal;Hydro Pumped Storage;Hydro Pumped Storage.1;Hydro Run-of-river and poundage;Hydro Water Reservoir;Marine;Nuclear;Other;Other renewable;Solar;Waste;Wind Offshore;Wind Onshore;start;end;start_datetime;start_unix_timestamp;end_datetime;end_unix_timestamp;Biomass_co2;Fossil Brown coal/Lignite_co2;Fossil Coal-derived gas_co2;Fossil Gas_co2;Fossil Hard coal_co2;Fossil Oil_co2;Fossil Oil shale_co2;Fossil Peat_co2;Geothermal_co2;Hydro Pumped Storage_co2;Hydro Pumped Storage.1_co2;Hydro Run-of-river and poundage_co2;Hydro Water Reservoir_co2;Marine_co2;Nuclear_co2;Other_co2;Other renewable_co2;Solar_co2;Waste_co2;Wind Offshore_co2;Wind Onshore_co2;totalEnergy_MWh;totalCO2_gr;emission_gr_kWh
00:00 - 00:15;4603.0;2736.0;;2468.0;1236.0;381.0;;;20.0;36.0;3050.0;1778.0;51.0;;;149.0;60.0;0.0;498.0;3055.0;27989.0;00:00;00:15;2024-04-02 00:00:00+02:00;1712008800.0;2024-04-02 00:15:00+02:00;1712009700.0;264672500.0;777708000.0;;235077000.0;263577000.0;81819750.0;;;190000.0;288000.0;24400000.0;14224000.0;408000.0;;;7450000.0;375000.0;0.0;43575000.0;3055000.0;48980750.0;12027.5;1765800000.0;146.814
00:15 - 00:30;4596.0;2701.0;;2447.0;1234.0;381.0;;;20.0;18.0;4233.0;1780.0;18.0;;;149.0;60.0;0.0;501.0;3062.0;28066.0;00:15;00:30;2024-04-02 00:15:00+02:00;1712009700.0;2024-04-02 00:30:00+02:00;1712010600.0;264270000.0;767759250.0;;233076750.0;263150500.0;81819750.0;;;190000.0;144000.0;33864000.0;14240000.0;144000.0;;;7450000.0;375000.0;0.0;43837500.0;3062000.0;49115500.0;12316.5;1762498250.0;143.101
00:30 - 00:45;4615.0;2709.0;;2440.0;1224.0;381.0;;;20.0;58.0;4978.0;1780.0;46.0;;;149.0;60.0;0.0;502.0;3225.0;28333.0;00:30;00:45;2024-04-02 00:30:00+02:00;1712010600.0;2024-04-02 00:45:00+02:00;1712011500.0;265362500.0;770033250.0;;232410000.0;261018000.0;81819750.0;;;190000.0;464000.0;39824000.0;14240000.0;368000.0;;;7450000.0;375000.0;0.0;43925000.0;3225000.0;49582750.0;12630.0;1770287250.0;140.165
00:45 - 01:00;4624.0;2713.0;;2465.0;1225.0;381.0;;;20.0;22.0;5186.0;1786.0;53.0;;;149.0;60.0;0.0;503.0;3418.0;28542.0;00:45;01:00;2024-04-02 00:45:00+02:00;1712011500.0;2024-04-02 01:00:00+02:00;1712012400.0;265880000.0;771170250.0;;234791250.0;261231250.0;81819750.0;;;190000.0;176000.0;41488000.0;14288000.0;424000.0;;;7450000.0;375000.0;0.0;44012500.0;3418000.0;49948500.0;12786.75;1776662500.0;138.946
01:00 - 01:15;4617.0;2716.0;;2474.0;1217.0;381.0;;;20.0;5.0;5351.0;1792.0;65.0;;;149.0;60.0;0.0;504.0;3533.0;28761.0;01:00;01:15;2024-04-02 01:00:00+02:00;1712012400.0;2024-04-02 01:15:00+02:00;1712013300.0;265477500.0;772023000.0;;235648500.0;259525250.0;81819750.0;;;190000.0;40000.0;42808000.0;14336000.0;520000.0;;;7450000.0;375000.0;0.0;44100000.0;3533000.0;50331750.0;12911.25;1778177750.0;137.723
01:15 - 01:30;4618.0;2687.0;;2495.0;1210.0;381.0;;;20.0;2.0;5460.0;1797.0;20.0;;;149.0;60.0;0.0;499.0;3577.0;28745.0;01:15;01:30;2024-04-02 01:15:00+02:00;1712013300.0;2024-04-02 01:30:00+02:00;1712014200.0;265535000.0;763779750.0;;237648750.0;258032500.0;81819750.0;;;190000.0;16000.0;43680000.0;14376000.0;160000.0;;;7450000.0;375000.0;0.0;43662500.0;3577000.0;50303750.0;12930.0;1770606000.0;136.938
01:30 - 01:45;4629.0;2693.0;;2508.0;1198.0;381.0;;;20.0;2.0;6187.0;1800.0;28.0;;;149.0;60.0;0.0;499.0;3863.0;28584.0;01:30;01:45;2024-04-02 01:30:00+02:00;1712014200.0;2024-04-02 01:45:00+02:00;1712015100.0;266167500.0;765485250.0;;238887000.0;255473500.0;81819750.0;;;190000.0;16000.0;49496000.0;14400000.0;224000.0;;;7450000.0;375000.0;0.0;43662500.0;3863000.0;50022000.0;13150.25;1777531500.0;135.171
01:45 - 02:00;4639.0;2732.0;;2498.0;1204.0;381.0;;;20.0;7.0;6333.0;1804.0;138.0;;;149.0;60.0;0.0;499.0;4057.0;28381.0;01:45;02:00;2024-04-02 01:45:00+02:00;1712015100.0;2024-04-02 02:00:00+02:00;1712016000.0;266742500.0;776571000.0;;237934500.0;256753000.0;81819750.0;;;190000.0;56000.0;50664000.0;14432000.0;1104000.0;;;7450000.0;375000.0;0.0;43662500.0;4057000.0;49666750.0;13225.5;1791478000.0;135.456
02:00 - 02:15;4647.0;2766.0;;2496.0;1179.0;381.0;;;20.0;7.0;5803.0;1808.0;49.0;;;149.0;60.0;0.0;502.0;4424.0;28744.0;02:00;02:15;2024-04-02 02:00:00+02:00;1712016000.0;2024-04-02 02:15:00+02:00;1712016900.0;267202500.0;786235500.0;;237744000.0;251421750.0;81819750.0;;;190000.0;56000.0;46424000.0;14464000.0;392000.0;;;7450000.0;375000.0;0.0;43925000.0;4424000.0;50302000.0;13258.75;1792425500.0;135.188
02:15 - 02:30;4648.0;2795.0;;2503.0;1180.0;381.0;;;20.0;1.0;6002.0;1810.0;20.0;;;149.0;60.0;0.0;500.0;4656.0;28854.0;02:15;02:30;2024-04-02 02:15:00+02:00;1712016900.0;2024-04-02 02:30:00+02:00;1712017800.0;267260000.0;794478750.0;;238410750.0;251635000.0;81819750.0;;;190000.0;8000.0;48016000.0;14480000.0;160000.0;;;7450000.0;375000.0;0.0;43750000.0;4656000.0;50494500.0;13394.75;1803183750.0;134.619
02:30 - 02:45;4648.0;2825.0;;2490.0;1184.0;381.0;;;20.0;2.0;6086.0;1810.0;28.0;;;149.0;60.0;0.0;498.0;4636.0;28327.0;02:30;02:45;2024-04-02 02:30:00+02:00;1712017800.0;2024-04-02 02:45:00+02:00;1712018700.0;267260000.0;803006250.0;;237172500.0;252488000.0;81819750.0;;;190000.0;16000.0;48688000.0;14480000.0;224000.0;;;7450000.0;375000.0;0.0;43575000.0;4636000.0;49572250.0;13286.0;1810952750.0;136.305
02:45 - 03:00;4648.0;2904.0;;2488.0;1196.0;381.0;;;20.0;1.0;5987.0;1809.0;22.0;;;149.0;60.0;0.0;500.0;4625.0;28155.0;02:45;03:00;2024-04-02 02:45:00+02:00;1712018700.0;2024-04-02 03:00:00+02:00;1712019600.0;267260000.0;825462000.0;;236982000.0;255047000.0;81819750.0;;;190000.0;8000.0;47896000.0;14472000.0;176000.0;;;7450000.0;375000.0;0.0;43750000.0;4625000.0;49271250.0;13236.25;1834784000.0;138.618
03:00 - 03:15;4665.0;2986.0;;2589.0;1200.0;381.0;;;20.0;1.0;5782.0;1808.0;30.0;;;149.0;60.0;0.0;497.0;4626.0;28780.0;03:00;03:15;2024-04-02 03:00:00+02:00;1712019600.0;2024-04-02 03:15:00+02:00;1712020500.0;268237500.0;848770500.0;;246602250.0;255900000.0;81819750.0;;;190000.0;8000.0;46256000.0;14464000.0;240000.0;;;7450000.0;375000.0;0.0;43487500.0;4626000.0;50365000.0;13393.5;1868791500.0;139.53
03:15 - 03:30;4672.0;2832.0;;2667.0;1197.0;381.0;;;20.0;1.0;6018.0;1809.0;38.0;;;149.0;60.0;0.0;496.0;4500.0;29308.0;03:15;03:30;2024-04-02 03:15:00+02:00;1712020500.0;2024-04-02 03:30:00+02:00;1712021400.0;268640000.0;804996000.0;;254031750.0;255260250.0;81819750.0;;;190000.0;8000.0;48144000.0;14472000.0;304000.0;;;7450000.0;375000.0;0.0;43400000.0;4500000.0;51289000.0;13537.0;1834879750.0;135.546
03:30 - 03:45;4678.0;2837.0;;2671.0;1182.0;381.0;;;20.0;8.0;6512.0;1810.0;51.0;;;149.0;60.0;0.0;497.0;4579.0;29537.0;03:30;03:45;2024-04-02 03:30:00+02:00;1712021400.0;2024-04-02 03:45:00+02:00;1712022300.0;268985000.0;806417250.0;;254412750.0;252061500.0;81819750.0;;;190000.0;64000.0;52096000.0;14480000.0;408000.0;;;7450000.0;375000.0;0.0;43487500.0;4579000.0;51689750.0;13743.0;1838515500.0;133.778
03:45 - 04:00;4699.0;2854.0;;2685.0;1186.0;381.0;;;20.0;61.0;6466.0;1807.0;101.0;;;149.0;60.0;0.0;499.0;4557.0;29722.0;03:45;04:00;2024-04-02 03:45:00+02:00;1712022300.0;2024-04-02 04:00:00+02:00;1712023200.0;270192500.0;811249500.0;;255746250.0;252914500.0;81819750.0;;;190000.0;488000.0;51728000.0;14456000.0;808000.0;;;7450000.0;375000.0;0.0;43662500.0;4557000.0;52013500.0;13811.75;1847650500.0;133.774
04:00 - 04:15;4721.0;2886.0;;2704.0;1200.0;381.0;;;20.0;29.0;6299.0;1810.0;162.0;;;149.0;60.0;0.0;490.0;4426.0;29615.0;04:00;04:15;2024-04-02 04:00:00+02:00;1712023200.0;2024-04-02 04:15:00+02:00;1712024100.0;271457500.0;820345500.0;;257556000.0;255900000.0;81819750.0;;;190000.0;232000.0;50392000.0;14480000.0;1296000.0;;;7450000.0;375000.0;0.0;42875000.0;4426000.0;51826250.0;13738.0;1860621000.0;135.436
04:15 - 04:30;4727.0;2867.0;;2706.0;1204.0;381.0;;;20.0;15.0;6202.0;1811.0;56.0;;;149.0;60.0;0.0;487.0;4427.0;29842.0;04:15;04:30;2024-04-02 04:15:00+02:00;1712024100.0;2024-04-02 04:30:00+02:00;1712025000.0;271802500.0;814944750.0;;257746500.0;256753000.0;81819750.0;;;190000.0;120000.0;49616000.0;14488000.0;448000.0;;;7450000.0;375000.0;0.0;42612500.0;4427000.0;52223500.0;13738.5;1855016500.0;135.023
04:30 - 04:45;4739.0;2878.0;;2696.0;1206.0;381.0;;;20.0;4.0;6106.0;1810.0;140.0;;;149.0;60.0;0.0;496.0;4434.0;30327.0;04:30;04:45;2024-04-02 04:30:00+02:00;1712025000.0;2024-04-02 04:45:00+02:00;1712025900.0;272492500.0;818071500.0;;256794000.0;257179500.0;81819750.0;;;190000.0;32000.0;48848000.0;14480000.0;1120000.0;;;7450000.0;375000.0;0.0;43400000.0;4434000.0;53072250.0;13861.5;1859758500.0;134.167
04:45 - 05:00;4737.0;2875.0;;2697.0;1224.0;381.0;;;20.0;5.0;5471.0;1808.0;160.0;;;149.0;60.0;0.0;499.0;4346.0;30469.0;04:45;05:00;2024-04-02 04:45:00+02:00;1712025900.0;2024-04-02 05:00:00+02:00;1712026800.0;272377500.0;817218750.0;;256889250.0;261018000.0;81819750.0;;;190000.0;40000.0;43768000.0;14464000.0;1280000.0;;;7450000.0;375000.0;0.0;43662500.0;4346000.0;53320750.0;13725.25;1858219500.0;135.387
05:00 - 05:15;4746.0;2698.0;;2780.0;1248.0;381.0;;;20.0;91.0;5315.0;1802.0;54.0;;;149.0;60.0;0.0;494.0;4317.0;30612.0;05:00;05:15;2024-04-02 05:00:00+02:00;1712026800.0;2024-04-02 05:15:00+02:00;1712027700.0;272895000.0;766906500.0;;264795000.0;266136000.0;81819750.0;;;190000.0;728000.0;42520000.0;14416000.0;432000.0;;;7450000.0;375000.0;0.0;43225000.0;4317000.0;53571000.0;13691.75;1819776250.0;132.91
05:15 - 05:30;4751.0;2619.0;;2845.0;1288.0;381.0;;;20.0;52.0;4713.0;1799.0;39.0;;;149.0;60.0;0.0;493.0;4266.0;30759.0;05:15;05:30;2024-04-02 05:15:00+02:00;1712027700.0;2024-04-02 05:30:00+02:00;1712028600.0;273182500.0;744450750.0;;270986250.0;274666000.0;81819750.0;;;190000.0;416000.0;37704000.0;14392000.0;312000.0;;;7450000.0;375000.0;0.0;43137500.0;4266000.0;53828250.0;13558.5;1807176000.0;133.287
05:30 - 05:45;4755.0;2609.0;;2921.0;1301.0;381.0;;;20.0;143.0;4062.0;1795.0;36.0;;;149.0;60.0;0.0;467.0;4052.0;30862.0;05:30;05:45;2024-04-02 05:30:00+02:00;1712028600.0;2024-04-02 05:45:00+02:00;1712029500.0;273412500.0;741608250.0;;278225250.0;277438250.0;81819750.0;;;190000.0;1144000.0;32496000.0;14360000.0;288000.0;;;7450000.0;375000.0;0.0;40862500.0;4052000.0;54008500.0;13403.25;1807730000.0;134.873
05:45 - 06:00;4762.0;2617.0;;3117.0;1321.0;381.0;;;20.0;789.0;2493.0;1792.0;172.0;;;149.0;60.0;0.0;241.0;3711.0;31162.0;05:45;06:00;2024-04-02 05:45:00+02:00;1712029500.0;2024-04-02 06:00:00+02:00;1712030400.0;273815000.0;743882250.0;;296894250.0;281703250.0;81819750.0;;;190000.0;6312000.0;19944000.0;14336000.0;1376000.0;;;7450000.0;375000.0;0.0;21087500.0;3711000.0;54533500.0;13196.75;1807429500.0;136.96
06:00 - 06:15;4775.0;2591.0;;3213.0;1461.0;381.0;;;20.0;962.0;642.0;1783.0;58.0;;;150.0;60.0;0.0;232.0;3548.0;31431.0;06:00;06:15;2024-04-02 06:00:00+02:00;1712030400.0;2024-04-02 06:15:00+02:00;1712031300.0;274562500.0;736491750.0;;306038250.0;311558250.0;81819750.0;;;190000.0;7696000.0;5136000.0;14264000.0;464000.0;;;7500000.0;375000.0;0.0;20300000.0;3548000.0;55004250.0;12826.75;1824947750.0;142.277
06:15 - 06:30;4787.0;2592.0;;3246.0;1495.0;381.0;;;20.0;1935.0;294.0;1780.0;81.0;;;156.0;60.0;2.0;229.0;3408.0;31592.0;06:15;06:30;2024-04-02 06:15:00+02:00;1712031300.0;2024-04-02 06:30:00+02:00;1712032200.0;275252500.0;736776000.0;;309181500.0;318808750.0;81819750.0;;;190000.0;15480000.0;2352000.0;14240000.0;648000.0;;;7800000.0;375000.0;71500.0;20037500.0;3408000.0;55286000.0;13014.5;1841726500.0;141.513
06:30 - 06:45;4801.0;2909.0;;3292.0;1548.0;381.0;;;20.0;3357.0;262.0;1775.0;74.0;;;157.0;60.0;10.0;231.0;3299.0;31700.0;06:30;06:45;2024-04-02 06:30:00+02:00;1712032200.0;2024-04-02 06:45:00+02:00;1712033100.0;276057500.0;826883250.0;;313563000.0;330111000.0;81819750.0;;;190000.0;26856000.0;2096000.0;14200000.0;592000.0;;;7850000.0;375000.0;357500.0;20212500.0;3299000.0;55475000.0;13469.0;1959937500.0;145.515
06:45 - 07:00;4804.0;3428.0;;3441.0;1581.0;381.0;;;20.0;4875.0;106.0;1770.0;85.0;;;157.0;60.0;84.0;229.0;3046.0;31832.0;06:45;07:00;2024-04-02 06:45:00+02:00;1712033100.0;2024-04-02 07:00:00+02:00;1712034000.0;276230000.0;974409000.0;;327755250.0;337148250.0;81819750.0;;;190000.0;39000000.0;848000.0;14160000.0;680000.0;;;7850000.0;375000.0;3003000.0;20037500.0;3046000.0;55706000.0;13974.75;2142257750.0;153.295
07:00 - 07:15;4814.0;3704.0;;3560.0;1706.0;381.0;;;20.0;7008.0;68.0;1764.0;59.0;;;152.0;60.0;314.0;230.0;2579.0;31861.0;07:00;07:15;2024-04-02 07:00:00+02:00;1712034000.0;2024-04-02 07:15:00+02:00;1712034900.0;276805000.0;1052862000.0;;339090000.0;363804500.0;81819750.0;;;190000.0;56064000.0;544000.0;14112000.0;472000.0;;;7600000.0;375000.0;11225500.0;20125000.0;2579000.0;55756750.0;14570.0;2283424500.0;156.721
07:15 - 07:30;4831.0;3789.0;;3843.0;1716.0;381.0;;;20.0;6970.0;12.0;1765.0;107.0;;;151.0;60.0;797.0;275.0;2562.0;31972.0;07:15;07:30;2024-04-02 07:15:00+02:00;1712034900.0;2024-04-02 07:30:00+02:00;1712035800.0;277782500.0;1077023250.0;;366045750.0;365937000.0;81819750.0;;;190000.0;55760000.0;96000.0;14120000.0;856000.0;;;7550000.0;375000.0;28492750.0;24062500.0;2562000.0;55951000.0;14812.75;2358623500.0;159.229
07:30 - 07:45;4835.0;3813.0;;3834.0;1767.0;381.0;;;20.0;6936.0;7.0;1765.0;158.0;;;151.0;60.0;1599.0;405.0;2505.0;32002.0;07:30;07:45;2024-04-02 07:30:00+02:00;1712035800.0;2024-04-02 07:45:00+02:00;1712036700.0;278012500.0;1083845250.0;;365188500.0;376812750.0;81819750.0;;;190000.0;55488000.0;56000.0;14120000.0;1264000.0;;;7550000.0;375000.0;57164250.0;35437500.0;2505000.0;56003500.0;15059.5;2415832000.0;160.419
07:45 - 08:00;4826.0;3818.0;;3835.0;1776.0;381.0;;;20.0;6741.0;13.0;1767.0;90.0;;;151.0;60.0;2564.0;462.0;2396.0;32240.0;07:45;08:00;2024-04-02 07:45:00+02:00;1712036700.0;2024-04-02 08:00:00+02:00;1712037600.0;277495000.0;1085266500.0;;365283750.0;378732000.0;81819750.0;;;190000.0;53928000.0;104000.0;14136000.0;720000.0;;;7550000.0;375000.0;91663000.0;40425000.0;2396000.0;56420000.0;15285.0;2456504000.0;160.713
08:00 - 08:15;4819.0;3834.0;;3797.0;1728.0;381.0;;;20.0;6316.0;14.0;1766.0;110.0;;;154.0;60.0;3804.0;477.0;1766.0;32517.0;08:00;08:15;2024-04-02 08:00:00+02:00;1712037600.0;2024-04-02 08:15:00+02:00;1712038500.0;277092500.0;1089814500.0;;361664250.0;368496000.0;81819750.0;;;190000.0;50528000.0;112000.0;14128000.0;880000.0;;;7700000.0;375000.0;135993000.0;41737500.0;1766000.0;56904750.0;15390.75;2489201250.0;161.734
