timestamp;datetime;emission_gr_kWh
1712527200;2024-04-08 00:00:00+02:00;347.294
1712528100;2024-04-08 00:15:00+02:00;341.903
1712529000;2024-04-08 00:30:00+02:00;328.463
1712529900;2024-04-08 00:45:00+02:00;323.655
1712530800;2024-04-08 01:00:00+02:00;315.294
1712531700;2024-04-08 01:15:00+02:00;312.017
1712532600;2024-04-08 01:30:00+02:00;315.816
1712533500;2024-04-08 01:45:00+02:00;318.5
1712534400;2024-04-08 02:00:00+02:00;324.571
1712535300;2024-04-08 02:15:00+02:00;326.555
1712536200;2024-04-08 02:30:00+02:00;335.118
1712537100;2024-04-08 02:45:00+02:00;344.77
1712538000;2024-04-08 03:00:00+02:00;350.218
1712538900;2024-04-08 03:15:00+02:00;360.686
1712539800;2024-04-08 03:30:00+02:00;367.877
1712540700;2024-04-08 03:45:00+02:00;378.155
1712541600;2024-04-08 04:00:00+02:00;402.566
1712542500;2024-04-08 04:15:00+02:00;418.201
1712543400;2024-04-08 04:30:00+02:00;419.098
1712544300;2024-04-08 04:45:00+02:00;429.376
1712545200;2024-04-08 05:00:00+02:00;451.886
1712546100;2024-04-08 05:15:00+02:00;453.456
1712547000;2024-04-08 05:30:00+02:00;437.183
1712547900;2024-04-08 05:45:00+02:00;440.288
1712548800;2024-04-08 06:00:00+02:00;437.345
1712549700;2024-04-08 06:15:00+02:00;426.335
1712550600;2024-04-08 06:30:00+02:00;422.351
1712551500;2024-04-08 06:45:00+02:00;405.465
1712552400;2024-04-08 07:00:00+02:00;395.624
1712553300;2024-04-08 07:15:00+02:00;393.662
1712554200;2024-04-08 07:30:00+02:00;393.706
1712555100;2024-04-08 07:45:00+02:00;388.731
1712556000;2024-04-08 08:00:00+02:00;390.72
1712556900;2024-04-08 08:15:00+02:00;387.966
1712557800;2024-04-08 08:30:00+02:00;401.631
1712558700;2024-04-08 08:45:00+02:00;407.157
1712559600;2024-04-08 09:00:00+02:00;371.526
1712560500;2024-04-08 09:15:00+02:00;378.471
1712561400;2024-04-08 09:30:00+02:00;383.832
1712562300;2024-04-08 09:45:00+02:00;376.025
1712563200;2024-04-08 10:00:00+02:00;365.938
1712564100;2024-04-08 10:15:00+02:00;359.417
1712565000;2024-04-08 10:30:00+02:00;344.598
1712565900;2024-04-08 10:45:00+02:00;320.384
1712566800;2024-04-08 11:00:00+02:00;314.362
1712567700;2024-04-08 11:15:00+02:00;300.726
1712568600;2024-04-08 11:30:00+02:00;289.16
1712569500;2024-04-08 11:45:00+02:00;279.145
1712570400;2024-04-08 12:00:00+02:00;273.153
1712571300;2024-04-08 12:15:00+02:00;272.274
1712572200;2024-04-08 12:30:00+02:00;268.94
1712573100;2024-04-08 12:45:00+02:00;267.83
1712574000;2024-04-08 13:00:00+02:00;271.197
1712574900;2024-04-08 13:15:00+02:00;276.036
1712575800;2024-04-08 13:30:00+02:00;279.402
1712576700;2024-04-08 13:45:00+02:00;274.694
1712577600;2024-04-08 14:00:00+02:00;268.243
1712578500;2024-04-08 14:15:00+02:00;272.771
1712579400;2024-04-08 14:30:00+02:00;273.999
1712580300;2024-04-08 14:45:00+02:00;276.862
1712581200;2024-04-08 15:00:00+02:00;278.848
1712582100;2024-04-08 15:15:00+02:00;293.532
1712583000;2024-04-08 15:30:00+02:00;304.984
1712583900;2024-04-08 15:45:00+02:00;312.42
1712584800;2024-04-08 16:00:00+02:00;325.99
1712585700;2024-04-08 16:15:00+02:00;340.511
1712586600;2024-04-08 16:30:00+02:00;372.796
1712587500;2024-04-08 16:45:00+02:00;395.319
1712588400;2024-04-08 17:00:00+02:00;396.363
1712589300;2024-04-08 17:15:00+02:00;411.347
1712590200;2024-04-08 17:30:00+02:00;417.216
1712591100;2024-04-08 17:45:00+02:00;410.391
1712592000;2024-04-08 18:00:00+02:00;439.173
1712592900;2024-04-08 18:15:00+02:00;437.458
1712593800;2024-04-08 18:30:00+02:00;434.063
1712594700;2024-04-08 18:45:00+02:00;434.787
1712595600;2024-04-08 19:00:00+02:00;434.813
1712596500;2024-04-08 19:15:00+02:00;435.151
1712597400;2024-04-08 19:30:00+02:00;433.995
1712598300;2024-04-08 19:45:00+02:00;431.261
1712599200;2024-04-08 20:00:00+02:00;423.742
1712600100;2024-04-08 20:15:00+02:00;421.024
1712601000;2024-04-08 20:30:00+02:00;419.0
1712601900;2024-04-08 20:45:00+02:00;429.923
1712602800;2024-04-08 21:00:00+02:00;402.205
1712603700;2024-04-08 21:15:00+02:00;393.952
1712604600;2024-04-08 21:30:00+02:00;389.194
1712605500;2024-04-08 21:45:00+02:00;398.211
1712606400;2024-04-08 22:00:00+02:00;385.417
1712607300;2024-04-08 22:15:00+02:00;386.358
1712608200;2024-04-08 22:30:00+02:00;384.227
1712609100;2024-04-08 22:45:00+02:00;384.268
1712610000;2024-04-08 23:00:00+02:00;365.428
1712610900;2024-04-08 23:15:00+02:00;367.601
1712611800;2024-04-08 23:30:00+02:00;365.383
1712612700;2024-04-08 23:45:00+02:00;361.427
1712613600;2024-04-09 00:00:00+02:00;343.746
1712614500;2024-04-09 00:15:00+02:00;338.226
1712615400;2024-04-09 00:30:00+02:00;325.168
1712616300;2024-04-09 00:45:00+02:00;310.546
1712617200;2024-04-09 01:00:00+02:00;299.884
1712618100;2024-04-09 01:15:00+02:00;299.64
1712619000;2024-04-09 01:30:00+02:00;294.034
1712619900;2024-04-09 01:45:00+02:00;279.369
1712620800;2024-04-09 02:00:00+02:00;257.805
1712621700;2024-04-09 02:15:00+02:00;250.57
1712622600;2024-04-09 02:30:00+02:00;248.808
1712623500;2024-04-09 02:45:00+02:00;244.137
1712624400;2024-04-09 03:00:00+02:00;243.71
1712625300;2024-04-09 03:15:00+02:00;235.901
1712626200;2024-04-09 03:30:00+02:00;239.113
1712627100;2024-04-09 03:45:00+02:00;240.507
1712628000;2024-04-09 04:00:00+02:00;249.476
1712628900;2024-04-09 04:15:00+02:00;255.878
1712629800;2024-04-09 04:30:00+02:00;255.366
1712630700;2024-04-09 04:45:00+02:00;257.327
1712631600;2024-04-09 05:00:00+02:00;261.443
1712632500;2024-04-09 05:15:00+02:00;273.015
1712633400;2024-04-09 05:30:00+02:00;282.511
1712634300;2024-04-09 05:45:00+02:00;288.961
1712635200;2024-04-09 06:00:00+02:00;296.462
1712636100;2024-04-09 06:15:00+02:00;287.973
1712637000;2024-04-09 06:30:00+02:00;281.389
1712637900;2024-04-09 06:45:00+02:00;273.09
1712638800;2024-04-09 07:00:00+02:00;265.762
1712639700;2024-04-09 07:15:00+02:00;262.29
1712640600;2024-04-09 07:30:00+02:00;265.997
